Table 1a: All settlements by locality and council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
Dechmont,S20001162,Dechmont,S19001458,West Lothian,S12000040,
Denholm,S20001163,Denholm,S19001459,Scottish Borders,S12000026,
Dingwall,S20001164,Dingwall,S19001462,Highland,S12000017,
Dirleton,S20001165,Dirleton,S19001463,East Lothian,S12000010,
Dollar,S20001166,Dollar,S19001464,Clackmannanshire,S12000005,
Dornoch,S20001167,Dornoch,S19001465,Highland,S12000017,
Douglas,S20001168,Douglas,S19001466,South Lanarkshire,S12000029,
Doune,S20001169,Doune,S19001467,Stirling,S12000030,
Drongan,S20001170,Drongan,S19001469,East Ayrshire,S12000008,
Drumnadrochit,S20001171,Drumnadrochit,S19001470,Highland,S12000017,
Drumoak,S20001172,Drumoak,S19001471,Aberdeenshire,S12000034,
Drymen,S20001173,Drymen,S19001472,Stirling,S12000030,
Dufftown,S20001174,Dufftown,S19001473,Moray,S12000020,
Dullatur,S20001175,Dullatur,S19001474,North Lanarkshire,S12000044,
"Dumbarton, Settlement of",S20001176,Dumbarton,S19001475,West Dunbartonshire,S12000039,
"Dumbarton, Settlement of",S20001176,Milton,S19001714,West Dunbartonshire,S12000039,
"Dumfries, Settlement of",S20001177,Cargenbridge,S19001391,Dumfries and Galloway,S12000006,
"Dumfries, Settlement of",S20001177,Dumfries,S19001476,Dumfries and Galloway,S12000006,
Dunbar,S20001178,Dunbar,S19001477,East Lothian,S12000010,
Dunbeg,S20001179,Dunbeg,S19001478,Argyll and Bute,S12000035,
Dunblane,S20001180,Dunblane,S19001479,Stirling,S12000030,
"Dundee, Settlement of (part)",S20001181,Dundee (part),S19001480,Angus,S12000041,
"Dundee, Settlement of (part)",S20001181,Dundee (part),S19001480,Dundee City,S12000042,
"Dundee, Settlement of (part)",S20001181,Invergowrie,S19001600,Perth and Kinross,S12000024,
"Dundee, Settlement of (part)",S20001181,Monifieth,S19001721,Angus,S12000041,
Dundonald,S20001182,Dundonald,S19001481,South Ayrshire,S12000028,
"Dunfermline, Settlement of",S20001183,Crossgates,S19001437,Fife,S12000015,
"Dunfermline, Settlement of",S20001183,Dunfermline,S19001482,Fife,S12000015,
"Dunfermline, Settlement of",S20001183,Inverkeithing,S19001601,Fife,S12000015,
"Dunfermline, Settlement of",S20001183,Rosyth,S19001814,Fife,S12000015,
Dunkeld and Birnam,S20001184,Dunkeld and Birnam,S19001484,Perth and Kinross,S12000024,
Dunlop,S20001185,Dunlop,S19001485,East Ayrshire,S12000008,
Dunning,S20001186,Dunning,S19001486,Perth and Kinross,S12000024,
"Dunoon, Settlement of",S20001187,Dunoon,S19001487,Argyll and Bute,S12000035,
"Dunoon, Settlement of",S20001187,Sandbank,S19001823,Argyll and Bute,S12000035,
Duns,S20001188,Duns,S19001488,Scottish Borders,S12000026,
Eaglesfield,S20001189,Eaglesfield,S19001491,Dumfries and Galloway,S12000006,
